SIP	DIP	SPORT	DPORT	PROTO	TGH	AVG	MAX	TOTAL	WIRE	#PKTS	FIRST	LAST	INTERARRIVAL	DUR
252.103.120.7	252.103.119.36	49173	50000	6	0	0	147	297831	14740857	267463	2018-09-21 14:03:20.013118	2018-09-28 15:03:16.254608	2274	608396241
252.103.120.7	252.103.119.36	49176	135	6	0	0	156	17646912	29573442	220861	2018-09-21 14:03:21.009553	2018-09-28 15:03:14.288962	2754	608393279
252.103.120.7	252.103.119.36	62811	49885	6	0	0	1083	11945490	13108380	21535	2018-09-21 14:03:21.012945	2018-09-22 06:00:11.275977	2665	57410263
252.103.120.48	252.103.119.36	56576	49885	6	0	0	68	179656	464992	5284	2018-09-21 14:03:21.233822	2018-09-22 05:59:53.108853	10863	57391875
252.103.119.36	252.103.120.48	49885	56576	6	0	0	28	73976	216698	2643	2018-09-21 14:03:21.234206	2018-09-22 06:00:14.518098	21730	57413283
252.103.120.13	252.103.119.36	2499	56968	6	0	0	74	7127434	18722908	214731	2018-09-21 14:03:21.323957	2018-09-28 15:03:17.281679	2832	608395957
252.103.119.36	252.103.120.30	445	53559	6	0	0	2920	96189066	101660940	101331	2018-09-21 14:03:22.340141	2018-09-24 16:30:36.461272	2644	268034121
252.103.120.30	252.103.119.36	53559	445	6	0	0	460	9201459	13546425	79293	2018-09-21 14:03:22.341212	2018-09-24 16:29:36.050872	3379	267973709
252.103.120.7	252.103.119.36	62813	49885	6	0	0	68	179656	464992	5284	2018-09-21 14:03:23.082119	2018-09-22 05:59:55.753815	10863	57392671
252.103.119.36	252.103.120.7	49885	62813	6	0	0	28	73976	216698	2643	2018-09-21 14:03:23.082566	2018-09-22 06:00:14.518139	21729	57411435
252.103.120.18	252.103.119.36	2499	56994	6	0	0	74	3958476	12648696	160930	2018-09-21 14:03:23.159704	2018-09-28 15:03:16.091368	3780	608392931
252.103.119.175	252.103.119.36	53025	49885	6	0	0	68	179656	464992	5284	2018-09-21 14:03:23.203030	2018-09-22 05:59:57.133175	10863	57393930
252.103.119.36	252.103.119.175	49885	53025	6	0	0	28	73976	216698	2643	2018-09-21 14:03:23.203703	2018-09-22 06:00:14.518302	21729	57411314
252.103.120.30	252.103.119.36	53585	49885	6	0	0	68	179656	464992	5284	2018-09-21 14:03:31.061199	2018-09-22 06:00:03.633752	10863	57392572
252.103.120.20	252.103.119.36	55281	49885	6	0	0	68	179656	464992	5284	2018-09-21 14:03:33.443438	2018-09-22 06:00:08.039794	10863	57394596
252.103.119.173	252.103.119.160	138	138	17	0	0	211	624962	752726	3042	2018-09-21 14:03:34.003821	2018-09-28 14:58:30.161483	199965	608096157
252.103.119.173	206.120.97.255	1025	1947	17	0	0	40	1410000	2890500	35250	2018-09-21 14:03:35.355372	2018-09-28 15:03:01.661867	17258	608366306
252.103.120.7	252.103.120.32	137	137	17	0	0	68	389384	712112	7684	2018-09-21 14:03:42.398055	2018-09-28 15:02:21.513760	79177	608319115
252.103.120.20	133.136.253.241	58938	53	17	0	0	43	43	85	1	2018-09-21 14:04:11.174092	2018-09-21 14:04:11.174092	0	0
133.136.253.241	252.103.120.20	53	58938	17	0	0	260	260	302	1	2018-09-21 14:04:11.174551	2018-09-21 14:04:11.174551	0	0
252.103.120.20	133.136.250.44	57638	80	6	0	0	257	1270	2902	30	2018-09-21 14:04:11.180035	2018-09-21 14:04:43.251607	1105	32071
133.136.250.44	252.103.120.20	80	57638	6	0	0	2214	65595	68091	46	2018-09-21 14:04:11.180278	2018-09-21 14:04:27.355205	359	16174
252.103.119.36	252.103.120.48	445	55790	6	0	0	2408	1710764	2065328	6566	2018-09-21 14:04:12.124119	2018-09-28 15:02:04.989893	92653	608272865
252.103.120.48	252.103.119.36	55790	445	6	0	0	452	98679	490983	6132	2018-09-21 14:04:12.124765	2018-09-28 15:02:04.990548	99212	608272865
252.103.120.7	252.103.120.32	138	138	17	0	0	201	674856	815976	3360	2018-09-21 14:04:17.943562	2018-09-28 14:53:04.304223	180924	607726360
252.103.120.20	133.136.253.241	65359	53	17	0	0	268	60277	72373	288	2018-09-21 14:04:23.993778	2018-09-28 14:44:31.435490	2115705	607207441
133.136.253.241	252.103.120.20	53	65359	17	0	0	387	72214	84310	288	2018-09-21 14:04:24.012929	2018-09-28 14:44:31.454461	2115704	607207441
252.103.120.20	133.136.253.241	65358	53	17	0	0	268	38427	46785	199	2018-09-21 14:04:24.013732	2018-09-24 00:46:41.727267	1067361	211337713
133.136.253.241	252.103.120.20	53	65358	17	0	0	383	45348	53706	199	2018-09-21 14:04:24.031541	2018-09-24 00:46:41.749360	1067361	211337717
252.103.119.36	252.103.119.175	445	57677	6	0	0	1	5	329	6	2018-09-21 14:04:25.697279	2018-09-21 14:13:52.765195	113413	567067
252.103.119.36	252.103.120.20	445	49582	6	0	0	5840	505947763	533910583	517830	2018-09-21 14:04:27.550777	2018-09-26 15:27:30.610490	843	436983059
252.103.120.20	252.103.119.36	49582	445	6	0	0	580	46844998	69106980	409743	2018-09-21 14:04:27.551426	2018-09-26 15:26:24.382618	1065	436916831
252.103.119.172	252.103.119.160	137	137	17	0	0	50	3008100	5534904	60162	2018-09-21 14:04:47.233155	2018-09-28 14:55:46.600634	10103	607859367
252.103.120.22	252.103.120.32	137	137	17	0	0	68	731152	1344352	14600	2018-09-21 14:04:52.298179	2018-09-28 14:56:01.408479	41637	607869110
252.103.120.20	133.136.250.44	49160	8194	6	0	0	2357	1790545	2097643	5687	2018-09-21 14:05:06.720742	2018-09-28 14:58:31.630403	106929	608004909
133.136.250.44	252.103.120.20	8194	49160	6	0	0	441	530911	746695	3996	2018-09-21 14:05:06.721159	2018-09-28 14:58:31.436022	152190	608004714
252.103.120.22	133.136.253.241	57207	53	17	0	0	35	35	77	1	2018-09-21 14:05:14.613511	2018-09-21 14:05:14.613511	0	0
133.136.253.241	252.103.120.22	53	57207	17	0	0	115	115	157	1	2018-09-21 14:05:14.613880	2018-09-21 14:05:14.613880	0	0
252.103.119.185	252.103.119.160	138	138	17	0	0	207	619554	747318	3042	2018-09-21 14:05:56.071019	2018-09-28 14:56:34.934246	199880	607838863
252.103.120.20	252.103.120.32	137	137	17	0	0	50	266600	490544	5332	2018-09-21 14:06:55.315692	2018-09-28 14:57:30.156537	114018	607834840
252.103.119.172	252.103.119.160	138	138	17	0	0	201	340038	411102	1692	2018-09-21 14:07:00.744831	2018-09-28 14:55:08.383653	359365	607687638
252.103.120.48	133.136.250.44	56957	80	6	0	0	257	1270	3118	34	2018-09-21 14:07:03.983104	2018-09-21 14:07:46.184723	1278	42201
133.136.250.44	252.103.120.48	80	56957	6	0	0	2214	65595	68091	46	2018-09-21 14:07:03.983282	2018-09-21 14:07:22.980103	421	18996
252.103.120.48	133.136.253.241	51218	53	17	0	0	268	52302	65070	304	2018-09-21 14:07:17.866903	2018-09-28 14:44:47.968204	2003465	607050101
133.136.253.241	252.103.120.48	53	51218	17	0	0	383	65411	78179	304	2018-09-21 14:07:17.885672	2018-09-28 14:44:47.986981	2003465	607050101
120.255.240.1	206.120.97.255	68	67	17	0	0	318	2998344	3418092	9994	2018-09-21 14:07:37.914241	2018-09-28 15:03:04.651200	60854	608126736
252.103.120.48	133.136.250.44	49160	8194	6	0	0	2357	2074199	2390909	5865	2018-09-21 14:08:10.931317	2018-09-28 14:49:06.163360	103556	607255232
133.136.250.44	252.103.120.48	8194	49160	6	0	0	1893	545243	770651	4174	2018-09-21 14:08:10.931646	2018-09-28 14:49:05.954921	145519	607255023
252.103.120.20	252.103.120.32	138	138	17	0	0	207	1243028	1499396	6104	2018-09-21 14:08:15.956878	2018-09-28 14:55:58.218185	99567	607662261
252.103.119.175	252.103.119.160	138	138	17	0	0	201	339690	410670	1690	2018-09-21 14:08:25.464443	2018-09-28 14:57:50.544080	359836	607765079
252.103.119.175	252.103.119.160	137	137	17	0	0	50	271700	499928	5434	2018-09-21 14:08:58.658128	2018-09-28 14:57:29.927041	111855	607711268
252.103.119.185	252.103.119.175	137	137	17	0	0	62	104780	175760	1690	2018-09-21 14:08:58.659756	2018-09-28 14:57:29.928659	359805	607711268
252.103.119.175	252.103.119.185	53204	139	6	0	0	244	1990	3310	24	2018-09-21 14:08:58.661410	2018-09-21 14:09:13.490905	644	14829
252.103.119.185	252.103.119.175	139	53204	6	0	0	255	1880	2984	20	2018-09-21 14:08:58.661929	2018-09-21 14:09:13.490198	780	14828
252.103.119.175	252.103.119.185	53205	139	6	0	0	220	1958	3386	26	2018-09-21 14:08:58.676205	2018-09-21 14:09:13.493032	592	14816
252.103.119.185	252.103.119.175	139	53205	6	0	0	366	2238	3450	22	2018-09-21 14:08:58.676726	2018-09-21 14:09:13.492695	705	14815
252.103.120.10	206.120.97.255	138	138	17	0	0	201	742092	897156	3692	2018-09-21 14:09:10.178036	2018-09-28 15:02:15.795599	164720	607985617
252.103.120.30	252.103.120.32	137	137	17	0	0	50	380200	699568	7604	2018-09-21 14:09:52.833253	2018-09-28 14:58:26.744233	79930	607713910
252.103.120.30	133.136.250.44	49166	8194	6	0	0	2357	2018889	2338461	5918	2018-09-21 14:10:10.596048	2018-09-28 14:46:27.075922	102581	606976479
133.136.250.44	252.103.120.30	8194	49166	6	0	0	1893	548703	774933	4189	2018-09-21 14:10:10.640127	2018-09-28 14:46:26.870302	144931	606976230
252.103.120.30	208.103.225.198	56298	1900	17	0	0	133	377262	505026	3042	2018-09-21 14:10:19.401980	2018-09-28 14:45:51.820259	199582	606932418
252.103.120.48	252.103.120.32	137	137	17	0	0	50	391000	719440	7820	2018-09-21 14:10:33.350296	2018-09-28 14:58:52.936396	77720	607699586
252.103.119.185	133.136.250.44	63336	80	6	0	0	257	1270	3064	33	2018-09-21 14:10:39.291097	2018-09-21 14:11:08.761771	920	29470
133.136.250.44	252.103.119.185	80	63336	6	0	0	2214	62254	64642	44	2018-09-21 14:10:39.291342	2018-09-21 14:10:52.771357	313	13480
252.103.119.185	133.136.253.241	51161	53	17	0	0	268	35403	43467	192	2018-09-21 14:10:49.424842	2018-09-28 09:50:52.474078	3084832	589203049
133.136.253.241	252.103.119.185	53	51161	17	0	0	389	44918	52982	192	2018-09-21 14:10:49.442250	2018-09-28 09:50:52.819486	3084833	589203377
252.103.119.185	133.136.253.241	65471	53	17	0	0	268	43137	53805	254	2018-09-21 14:10:49.525062	2018-09-28 14:50:52.593286	2400011	607203068
133.136.253.241	252.103.119.185	53	65471	17	0	0	382	51790	62458	254	2018-09-21 14:10:49.542987	2018-09-28 14:50:52.611222	2400011	607203068
252.103.119.175	133.136.250.44	55987	8194	6	0	0	2357	1974705	2286339	5771	2018-09-21 14:10:58.803678	2018-09-28 15:00:13.973960	105329	607755170
133.136.250.44	252.103.119.175	8194	55987	6	0	0	1893	529661	749831	4077	2018-09-21 14:10:58.819852	2018-09-28 15:00:13.770295	149105	607754950
252.103.120.7	208.103.225.198	50007	1900	17	0	0	125	162936	218124	1314	2018-09-21 14:11:13.887187	2018-09-24 14:58:00.086602	199547	262006199
252.103.120.30	133.136.250.44	53704	80	6	0	0	257	1270	3064	33	2018-09-21 14:11:26.172355	2018-09-21 14:11:58.021465	994	31849
